"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\class\createClass.js", "JavaScript", 25, 0, 0, 3, 3, 31
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\class\deleteClass.js", "JavaScript", 21, 0, 0, 3, 3, 27
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\class\editClass.js", "JavaScript", 32, 0, 0, 3, 3, 38
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\contract\createContract.js", "JavaScript", 22, 0, 0, 3, 3, 28
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\contract\editContract.js", "JavaScript", 22, 0, 0, 3, 3, 28
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\member\createMember.js", "JavaScript", 28, 0, 0, 1, 3, 32
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\member\editMember.js", "JavaScript", 41, 0, 0, 1, 4, 46
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\member\subscribeMember.js", "JavaScript", 50, 0, 0, 0, 6, 56
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\member\unsubscribeMember.js", "JavaScript", 42, 0, 0, 0, 5, 47
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\trainer\addClass.js", "JavaScript", 22, 0, 0, 0, 3, 25
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\trainer\createTrainer.js", "JavaScript", 22, 0, 0, 0, 3, 25
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\trainer\editTrainer.js", "JavaScript", 22, 0, 0, 0, 3, 25
"c:\Users\Danny\Desktop\arenas-gym\app\src\utils\trainer\removeClass.js", "JavaScript", 24, 0, 0, 0, 3, 27
"Total", "-", 732, 2705, 1300, 82, 471, 5290
